brand,model,year,title,predicted_path,starting_price,source,verified_on
Kia,Sorento,2026,"2026 Kia Sorento Specs, Price & Trims",/2026/08/2026-kia-sorento-specs-price-and-trims.html,"$32,390",https://www.kia.com/us/en/sorento/specs-compare,2026-09-14
Kia,EV9,2026,"2026 Kia EV9 Specs, Price & Trims",/2026/08/2026-kia-ev9-specs-price-and-trims.html,"$54,900",https://www.kia.com/us/en/ev9/specs-compare,2026-09-14
Kia,Niro,2027,"2027 Kia Niro Specs, Price & Trims",/2026/08/2027-kia-niro-specs-price-and-trims.html,"$29,890",https://www.kia.com/us/en/niro,2026-09-14
Kia,EV3,2027,"2027 Kia EV3 Specs, Price & Trims",/2026/08/2027-kia-ev3-specs-price-and-trims.html,"$29,890",https://www.kiamedia.com/us/en/media/pressreleases/25004/kia-announces-pricing-for-2027-ev3,2026-09-14
Kia,Sportage,2027,"2027 Kia Sportage Specs, Price & Trims",/2026/08/2027-kia-sportage-specs-price-and-trims.html,"$28,990",https://www.kia.com/us/en/sportage-hybrid,2026-09-14
Kia,K5,2027,"2027 Kia K5 Specs, Price & Trims",/2026/08/2027-kia-k5-specs-price-and-trims.html,"$27,690",https://www.kia.com/us/en/k5,2026-09-14
Kia,K4,2026,"2026 Kia K4 Specs, Price & Trims",/2026/08/2026-kia-k4-specs-price-and-trims.html,"$22,290",https://www.kiamedia.com/us/en/models/k4/2026/pricing,2026-09-14
Kia,K4 Hatchback,2026,"2026 Kia K4 Hatchback Specs, Price & Trims",/2026/08/2026-kia-k4-hatchback-specs-price-and-trims.html,"$24,990",https://www.kiamedia.com/us/en/models/k4-hatchback/2026/pricing,2026-09-14
Kia,Seltos,2027,"2027 Kia Seltos Specs, Price & Trims",/2026/08/2027-kia-seltos-specs-price-and-trims.html,"$24,990",https://www.kiamedia.com/us/en/models/seltos/2027/pricing,2026-09-14
Kia,Niro EV,2026,"2026 Kia Niro EV Specs, Price & Trims",/2026/08/2026-kia-niro-ev-specs-price-and-trims.html,"$39,700",https://www.kia.com/us/en/niro-ev,2026-09-14
Tesla,Model 3,2026,"2026 Tesla Model 3 Specs, Price & Trims",/2026/08/2026-tesla-model-3-specs-price-and-trims.html,"$36,990",https://www.tesla.com/model3,2026-09-14
Tesla,Model Y,2026,"2026 Tesla Model Y Specs, Price & Trims",/2026/08/2026-tesla-model-y-specs-price-and-trims.html,"$39,990",https://www.tesla.com/modely,2026-09-14
Tesla,Cybertruck,2026,"2026 Tesla Cybertruck Specs, Price & Trims",/2026/08/2026-tesla-cybertruck-specs-price-and-trims.html,"$74,990",https://www.tesla.com/cybertruck/design,2026-09-14
BMW,X1,2027,"2027 BMW X1 Specs, Price & Trims",/2026/08/2027-bmw-x1-specs-price-and-trims.html,"$43,200",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,X2,2027,"2027 BMW X2 Specs, Price & Trims",/2026/08/2027-bmw-x2-specs-price-and-trims.html,"$44,700",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,X3,2027,"2027 BMW X3 Specs, Price & Trims",/2026/08/2027-bmw-x3-specs-price-and-trims.html,"$51,300",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,X5,2027,"2027 BMW X5 Specs, Price & Trims",/2026/08/2027-bmw-x5-specs-price-and-trims.html,"$68,300",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,X6,2027,"2027 BMW X6 Specs, Price & Trims",/2026/08/2027-bmw-x6-specs-price-and-trims.html,"$77,300",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,X7,2027,"2027 BMW X7 Specs, Price & Trims",/2026/08/2027-bmw-x7-specs-price-and-trims.html,"$87,500",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,XM,2027,"2027 BMW XM Specs, Price & Trims",/2026/08/2027-bmw-xm-specs-price-and-trims.html,"$159,600",https://www.bmwusa.com/all-bmws.html,2026-09-14
